session,category,target,rp,,critical_cat,critical_target,critical_rp
2,BUILDING PARTS,entrance,e _ _ _ _ _ _ _,,BUILDING PARTS,entrance,e _ _ _ _ _ _ _
2,SHIPS,kayak,k _ _ _ _,,SHIPS,kayak,k _ _ _ _
2,READING MATERIALS,periodical,p _ _ _ _ _ _ _ _ _,,READING MATERIALS,periodical,p _ _ _ _ _ _ _ _ _
2,FURNITURE,dresser,d _ _ _ _ _ _,,FURNITURE,dresser,d _ _ _ _ _ _
2,ELEMENTS,boron,b _ _ _ _,,ELEMENTS,boron,b _ _ _ _
2,TREES,willow,w _ _ _ _ _,,TREES,willow,w _ _ _ _ _
2,COLORS,gray,g _ _ _,,COLORS,gray,g _ _ _
2,FABRICS,lace,l _ _ _,,FABRICS,lace,l _ _ _
2,BOY NAMES,michael,m _ _ _ _ _ _,,,,
2,MEMBERS OF THE CLERGY,minister,m _ _ _ _ _ _ _,,,,
3,BOY NAMES,jeff,j _ _ _,,,,
3,CURRENCIES,yen,y _ _,,,,
3,BOY NAMES,jeff,j _ _ _,,,,
3,BOY NAMES,jack,j _ _ _,,,,
3,BOY NAMES,zach,z _ _ _,,,,
3,FRUIT,blueberry,b _ _ _ _ _ _ _ _,,FRUIT,blueberry,b _ _ _ _ _ _ _ _
3,CARPENTRY TOOLS,drill,d _ _ _ _,,CARPENTRY TOOLS,drill,d _ _ _ _
3,WEATHER TERMS,rain,r _ _ _,,WEATHER TERMS,rain,r _ _ _
3,TOYS,kite,k _ _ _,,TOYS,kite,k _ _ _
3,CLOTHES,sweater,s _ _ _ _ _ _,,CLOTHES,sweater,s _ _ _ _ _ _
3,FABRICS,leather,l _ _ _ _ _ _,,FABRICS,leather,l _ _ _ _ _ _
3,BIRDS,finch,f _ _ _ _,,BIRDS,finch,f _ _ _ _
3,COLORS,gray,g _ _ _,,COLORS,gray,g _ _ _
3,CITIES,chicago,c _ _ _ _ _ _,,CITIES,chicago,c _ _ _ _ _ _
3,SPORTS,volleyball,v _ _ _ _ _ _ _ _ _,,SPORTS,volleyball,v _ _ _ _ _ _ _ _ _
3,BUILDING PARTS,entrance,e _ _ _ _ _ _ _,,BUILDING PARTS,entrance,e _ _ _ _ _ _ _
3,OCCUPATIONS,athlete,a _ _ _ _ _ _,,OCCUPATIONS,athlete,a _ _ _ _ _ _
3,COUNTRIES,italy,i _ _ _ _,,COUNTRIES,italy,i _ _ _ _
3,DWELLINGS,townhouse,t _ _ _ _ _ _ _ _,,DWELLINGS,townhouse,t _ _ _ _ _ _ _ _
3,STATES,hawaii,h _ _ _ _ _,,STATES,hawaii,h _ _ _ _ _
3,GEOGRAPHY TERMS,ocean,o _ _ _ _,,GEOGRAPHY TERMS,ocean,o _ _ _ _
3,READING MATERIALS,paper,p _ _ _ _,,READING MATERIALS,paper,p _ _ _ _
3,BODY PARTS,neck,n _ _ _,,BODY PARTS,neck,n _ _ _
3,BOY NAMES,jim,j _ _,,,,
3,CHEMICAL ELEMENTS,magnesium,m _ _ _ _ _ _ _ _,,,,
4,FLOWERS,poppy,p _ _ _ _,,,,
4,FLOWERS,dandelion,d _ _ _ _ _ _ _ _,,,,
4,CURRENCIES,euro,e _ _ _,,,,
4,CURRENCIES,peso,p _ _ _,,,,
4,MEMBERS OF THE CLERGY,deacon,d _ _ _ _ _,,,,
4,INSTRUMENTS,viola,v _ _ _ _,,INSTRUMENTS,viola,v _ _ _ _
4,SPORTS,rugby,r _ _ _ _,,SPORTS,rugby,r _ _ _ _
4,BIRDS,hummingbird,h _ _ _ _ _ _ _ _ _ _,,BIRDS,hummingbird,h _ _ _ _ _ _ _ _ _ _
4,FRUIT,melon,m _ _ _ _,,FRUIT,melon,m _ _ _ _
4,TOYS,nintendo,n _ _ _ _ _ _ _,,TOYS,nintendo,n _ _ _ _ _ _ _
4,OCCUPATIONS,janitor,j _ _ _ _ _ _,,OCCUPATIONS,janitor,j _ _ _ _ _ _
4,VEGETABLES,zucchini,z _ _ _ _ _ _ _,,VEGETABLES,zucchini,z _ _ _ _ _ _ _
4,CLOTHES,sweater,s _ _ _ _ _ _,,CLOTHES,sweater,s _ _ _ _ _ _
4,FOOTBALL TEAMS,bengals,b _ _ _ _ _ _,,FOOTBALL TEAMS,bengals,b _ _ _ _ _ _
4,FOUR-FOOTED ANIMALS,tiger,t _ _ _ _,,FOUR-FOOTED ANIMALS,tiger,t _ _ _ _
4,CAR MODELS,lamborghini,l _ _ _ _ _ _ _ _ _ _,,CAR MODELS,lamborghini,l _ _ _ _ _ _ _ _ _ _
4,ELEMENTS,copper,c _ _ _ _ _,,ELEMENTS,copper,c _ _ _ _ _
4,COUNTRIES,israel,i _ _ _ _ _,,COUNTRIES,israel,i _ _ _ _ _
4,STATES,oklahoma,o _ _ _ _ _ _ _,,STATES,oklahoma,o _ _ _ _ _ _ _
4,READING MATERIALS,flyer,f _ _ _ _,,READING MATERIALS,flyer,f _ _ _ _
4,SHIPS,kayak,k _ _ _ _,,SHIPS,kayak,k _ _ _ _
4,INSECTS,wasp,w _ _ _,,INSECTS,wasp,w _ _ _
4,CITIES,greensboro,g _ _ _ _ _ _ _ _ _,,CITIES,greensboro,g _ _ _ _ _ _ _ _ _
4,BOY NAMES,ed,e _,,,,
4,CURRENCIES,deutschmark,d _ _ _ _ _ _ _ _ _ _,,,,
